Country name,Regional indicator,Continent,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Index of Social support,Index of Healthy life expectancy,Index of Freedom to make life choices,Index of Generosity,Index of Perceptions of corruption,Dystopia + residual,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,2017 death count,2018 death count,2019 death count,2020 death count,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Czech Republic,Central and Eastern Europe,Europe,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.09,0.703,0.58,0.052,0.046,3.124,10708982,10669709,108.133,43.3,0,4.817,9.025,0,0,0.29,24,111007,112604,112040,131440,182.952
Slovenia,Central and Eastern Europe,Europe,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.093,0.722,0.69,0.122,0.085,2.388,2078932,2087946,129.73,44.5,0,4.308,9.045,0,0,0.177,23.4,20436,20428,20547,24277,182.711
Kosovo,Central and Eastern Europe,Europe,6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,2.43,0.807,0.483,0.593,0.356,0.014,3.182,1932774,1794248,68.916,35,0,3.134,9.015,0,1,0.169,29.01,8738,8866,9552,11108,110.329
Slovakia,Central and Eastern Europe,Europe,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.066,0.653,0.468,0.107,0.018,2.714,5459643,5454073,39.16,41.2,0,4.655,9.019,0,1,0.195,23.2,53702,54137,53115,60277,121.419
Lithuania,Central and Eastern Europe,Europe,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.065,0.612,0.476,0.056,0.073,2.624,2722291,2786844,53.558,43.5,0,2.539,8.944,0,1,0.189,36.9,39990,39452,38184,43824,167.552
Estonia,Central and Eastern Europe,Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.079,0.64,0.641,0.119,0.263,2.103,1326539,1326590,17.263,42.7,0,2.365,8.93,0,1,0.27,30.6,15476,15684,15332,16206,53.421
Poland,Central and Eastern Europe,Europe,6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,0.982,0.668,0.558,0.08,0.13,2.438,37846605,37970874,75.447,41.8,0,3.199,8.978,0,0,0.304,27.8,402533,411312,407624,485441,206.508
Romania,Central and Eastern Europe,Europe,6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,0.832,0.595,0.564,0.045,0.001,2.83,19237682,19356544,81.959,43,0,2.517,8.981,0,0,0.1,35.1,0,0,0,0,0
Serbia,Central and Eastern Europe,Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,0.924,0.634,0.482,0.189,0.066,2.682,6804596,6944975,47.189,41.2,0,3.134,9.015,0,1,0.221,37.8,103722,101655,102131,114954,181.116
Latvia,Central and Eastern Europe,Europe,6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.047,0.587,0.405,0.082,0.089,2.536,1886202,1912789,33.666,43.9,0,2.49,8.943,0,0,0.096,35.6,28659,28743,27632,28989,33.921
Hungary,Central and Eastern Europe,Europe,5.992,0.047,6.085,5.899,10.358,0.943,68,0.755,-0.186,0.876,2.43,1.083,0.615,0.454,0.067,0.04,2.432,9660350,9769949,98.723,43.4,0,3.555,9.011,0,0,0.253,28.7,131293,130624,129266,142921,128.939
Croatia,Central and Eastern Europe,Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.039,0.703,0.453,0.111,0,2.325,4105268,4067500,95.487,44,0,4.057,9.037,0,0,0.131,29.7,53269,52562,51611,57922,133.158
Bosnia and Herzegovina,Central and Eastern Europe,Europe,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,0.919,0.618,0.395,0.261,0.005,2.583,3280815,3301000,123.445,42.5,0,3.509,9.032,0,0,0.064,33.03,0,0,0,0,0
Montenegro,Central and Eastern Europe,Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,0.891,0.637,0.397,0.166,0.081,2.254,628062,622137,108.588,39.1,0,3.134,9.015,0,0,0.216,31.93,0,0,0,0,0
